policy,target_coverage,n,n_auto_classified,n_deferred,coverage,deferral_rate,auto_accuracy,selective_risk,total_errors,errors_accepted,errors_deferred,error_capture_fraction,correct_unnecessarily_deferred,deferred_set_error_precision,auto_accuracy_sd,selective_risk_sd,error_capture_fraction_sd
learned_full,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
oracle_reference,0.5,1576.0,788.0,788.0,0.5,0.5,1.0,0.0,458.0,0.0,458.0,1.0,330.0,0.5812182741116751,,,
oracle_reference,0.6,1576.0,946.0,630.0,0.600253807106599,0.399746192893401,1.0,0.0,458.0,0.0,458.0,1.0,172.0,0.726984126984127,,,
oracle_reference,0.7,1576.0,1103.0,473.0,0.6998730964467005,0.3001269035532995,1.0,0.0,458.0,0.0,458.0,1.0,15.0,0.9682875264270613,,,
oracle_reference,0.8,1576.0,1261.0,315.0,0.8001269035532995,0.1998730964467005,0.8865979381443299,0.1134020618556701,458.0,143.0,315.0,0.6877729257641921,0.0,1.0,,,
oracle_reference,0.9,1576.0,1418.0,158.0,0.899746192893401,0.10025380710659898,0.7884344146685472,0.21156558533145275,458.0,300.0,158.0,0.34497816593886466,0.0,1.0,,,
oracle_reference,0.95,1576.0,1497.0,79.0,0.9498730964467005,0.05012690355329949,0.7468269873079493,0.2531730126920508,458.0,379.0,79.0,0.17248908296943233,0.0,1.0,,,
oracle_reference,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441624,0.2906091370558376,458.0,458.0,0.0,0.0,0.0,,,,
random_mean,0.5,1576.0,788.0,788.0,0.5,0.5,0.7095406091370559,0.29045939086294414,458.0,228.882,229.118,0.5002576419213974,558.882,0.29075888324873095,0.011383255662979966,0.011383255662979966,0.019585164765127103
random_mean,0.6,1576.0,946.0,630.0,0.6002538071065988,0.3997461928934011,0.7097632135306553,0.2902367864693446,458.0,274.564,183.436,0.4005152838427948,446.564,0.2911682539682539,0.009646272626371513,0.009646272626371511,0.019924397171500983
random_mean,0.7,1576.0,1103.0,473.0,0.6998730964467004,0.3001269035532994,0.7087978241160472,0.29120217588395286,458.0,321.196,136.804,0.2986986899563319,336.196,0.28922621564482026,0.007349819186835551,0.007349819186835549,0.017700547080959847
random_mean,0.8,1576.0,1261.0,315.0,0.8001269035532999,0.19987309644670054,0.7094226804123709,0.2905773195876288,458.0,366.418,91.582,0.19996069868995633,223.418,0.2907365079365079,0.0058570079454353845,0.005857007945435383,0.016125954190379946
random_mean,0.9,1576.0,1418.0,158.0,0.8997461928934012,0.10025380710659901,0.7095119887165022,0.2904880112834979,458.0,411.912,46.088,0.10062882096069871,111.912,0.2916962025316456,0.003638373894641901,0.003638373894641901,0.0112646597873411
random_mean,0.95,1576.0,1497.0,79.0,0.9498730964467001,0.050126903553299504,0.7092879091516366,0.29071209084836336,458.0,435.196,22.804,0.04979039301310044,56.196,0.2886582278481012,0.0025722213342974933,0.0025722213342974907,0.008407457068653586
random_mean,1.0,1576.0,1576.0,0.0,1.0,0.0,0.7093908629441625,0.2906091370558377,458.0,458.0,0.0,0.0,0.0,,1.111334915764742e-16,1.111334915764742e-16,0.0
